################################################
# A 3-D crustal shear wave velocity model in the Banda Arc collision zone from ambient noise tomography
# Please cite the original work behind this Earth model in the following:
# Zhang, P., and Miller, M.S., (2020) Seismic imaging of the subducted Australian Continental Margin beneath Timor and the Banda Arc collision zone, Accepted by GRL on November 24, 2020
####
# longitude	latitude	depth(km)	Vsv(km/s)
  126.000  -10.000    0.000    3.011
  126.000  -10.250    0.000    3.009
  126.000  -10.500    0.000    3.003
  126.000  -10.750    0.000    2.998
  126.000  -11.000    0.000    2.998
  126.000  -11.250    0.000    3.000
  126.250   -7.500    0.000    3.000
  126.250   -7.750    0.000    3.033
  126.250   -8.000    0.000    3.082
  126.250   -8.250    0.000    3.256
  126.250   -8.500    0.000    3.081
  126.250   -8.750    0.000    2.597
  126.250   -9.000    0.000    2.896
  126.250   -9.250    0.000    2.987
  126.250   -9.500    0.000    2.999
  126.250   -9.750    0.000    3.008
  126.250  -10.000    0.000    3.011
  126.250  -10.250    0.000    3.007
  126.250  -10.500    0.000    3.000
  126.250  -10.750    0.000    2.997
  126.250  -11.000    0.000    2.998
  126.250  -11.250    0.000    3.000
  126.500   -7.500    0.000    3.000
  126.500   -7.750    0.000    3.022
  126.500   -8.000    0.000    3.053
  126.500   -8.250    0.000    3.126
  126.500   -8.500    0.000    3.024
  126.500   -8.750    0.000    2.829
  126.500   -9.000    0.000    2.917
  126.500   -9.250    0.000    2.981
  126.500   -9.500    0.000    2.999
  126.500   -9.750    0.000    3.010
  126.500  -10.000    0.000    3.010
  126.500  -10.250    0.000    3.004
  126.500  -10.500    0.000    2.999
  126.500  -10.750    0.000    2.997
  126.500  -11.000    0.000    2.999
  126.500  -11.250    0.000    3.000
  126.750   -7.500    0.000    3.000
  126.750   -7.750    0.000    3.011
  126.750   -8.000    0.000    3.026
  126.750   -8.250    0.000    3.040
  126.750   -8.500    0.000    2.960
  126.750   -8.750    0.000    2.955
  126.750   -9.000    0.000    2.977
  126.750   -9.250    0.000    2.992
  126.750   -9.500    0.000    3.006
  126.750   -9.750    0.000    3.011
  126.750  -10.000    0.000    3.008
  126.750  -10.250    0.000    3.001
  126.750  -10.500    0.000    2.998
  126.750  -10.750    0.000    2.998
  126.750  -11.000    0.000    3.000
  126.750  -11.250    0.000    3.000
  127.000   -7.500    0.000    3.000
  127.000   -7.750    0.000    3.004
  127.000   -8.000    0.000    3.010
  127.000   -8.250    0.000    3.012
  127.000   -8.500    0.000    2.979
  127.000   -8.750    0.000    2.987
  127.000   -9.000    0.000    2.996
  127.000   -9.250    0.000    3.004
  127.000   -9.500    0.000    3.010
  127.000   -9.750    0.000    3.010
  127.000  -10.000    0.000    3.004
  127.000  -10.250    0.000    2.999
  127.000  -10.500    0.000    2.998
  127.000  -10.750    0.000    2.999
  127.000  -11.000    0.000    3.000
  127.000  -11.250    0.000    3.000
  127.250   -7.500    0.000    3.000
